단어명	영문약어명
품종명명연도	VRTY_NMNG_YR
품종분류번호	VRTY_CLSF_NO
프로그램내용	PRGRM_CN
프로그램번호	PRGRM_NO
프로그램설명	PRGRM_EXPLN
프로그램순서	PRGRM_SEQ
프로그램여부	PRGRM_YN
프로그램일자	PRGRM_YMD
프로그램제목	PRGRM_TTL
프로시저설명	PRCDR_EXPLN
피승계인상호	SCSR_CONM
피승계인주소	SCSR_ADDR
피해상세내용	DAM_DTL_CN
픽셀수정여부	PXL_MDFCN_YN
필기시험점수	NTTK_TEST_SCR
필수교육여부	ESNTL_EDU_YN
필수문항여부	ESNTL_QITEM_YN
필수응답여부	ESNTL_RSPNS_YN
필수입력여부	ESNTL_INPT_YN
필수제출여부	ESNTL_SBMSN_YN
필수체크여부	ESNTL_CHCK_YN
필수항목번호	ESNTL_ARTCL_NO
필수항목여부	ESNTL_ARTCL_YN
필지고유번호	LTLND_UNQ_NO
필터사용여부	FILT_USE_YN
하구구분코드	RVMTH_SE_CD
하도구분여부	RVCRS_SE_YN
하도급공사명	SBCTR_CSTRN_NM
하도급업체명	SBCTR_BZENTY_NM
하류수위유량	DNSTM_WTLV_VLFL
하상재질내용	RVBD_MQLT_CN
하상현황내용	RVBD_PRCND_CN
하수처리장명	STPLNT_NM
하위권한코드	LWR_AUTHRT_CD
하위법령내용	LWGSLT_CN
하위시스템명	LWR_SYS_NM
하자발생일자	FLW_OCRN_YMD
하천구분코드	RVR_SE_CD
하천수준번호	RVR_LVL_NO
하천여울비율	RVR_RPDS_RT
하천연못비율	RVR_POND_RT
하천위치내용	RVR_PSTN_CN
하천흐름비율	RVR_FLOW_RT
하한영점표고	LLMT_ZRELV
하한저수용량	LLMT_IMPND_CPCT
하한조도계수	LLMT_RGHCF
하향예보여부	DWNWRD_FRCST_YN
학교고유번호	SCHL_UNQ_NO
학교용지면적	SHS_AREA
학교전화번호	SCHL_TELNO
학력시작일자	ACBG_BGNG_YMD
학력일련번호	ACBG_SN
학력종료일자	ACBG_END_YMD
학명시작일자	STNM_BGNG_YMD
학명종료일자	STNM_END_YMD
학술지아이디	ACJRNL_ID
학습과제내용	LRN_ASMT_CN
학습기록내용	LRN_RCD_CN
학습모드내용	LRN_MOD_CN
학습목표설명	LRN_GOAL_EXPLN
학습시작일시	LRN_BGNG_DT
학습시작일자	LRN_BGNG_YMD
학습완료여부	LRN_CMPTN_YN
학습자료내용	LRN_DATA_CN
학습자아이디	LRNR_ID
학습종료일시	LRN_END_DT
학습종료일자	LRN_END_YMD
학습주제제목	LRN_TPC_TTL
학위논문제목	DGR_THSS_TTL
학위취득연도	DGR_ACQS_YR
학위취득일자	DGR_ACQS_YMD
한국서명자명	KOR_SIGR_NM
한국측정일시	KOR_MSRMT_DT
한글키워드명	KORN_KYWD_NM
한글테이블명	KORN_TBL_NM
한도설정금액	LIM_STNG_AMT
한도초과여부	LIM_EXCS_YN
할당가능여부	ALOT_PSBLTY_YN
할당경계설명	ALOT_MGNL_EXPLN
할당계수여부	ALOT_CFC_YN
할당그룹번호	ALOT_GROUP_NO
할당대상여부	ALOT_TRGT_YN
할당대상연도	ALOT_TRGT_YR
할당보정여부	ALOT_CRCT_YN
할당분할여부	ALOT_PRTTN_YN
할당시작일시	ALOT_BGNG_DT
할당신규여부	ALOT_NEW_YN
할당신청여부	ALOT_APLY_YN
할당완료여부	ALOT_CMPTN_YN
할당이전수량	ALOT_BFR_QTY
할당일련번호	ALOT_SN
할당종료일시	ALOT_END_DT
할당지정여부	ALOT_DSGN_YN
할당확정일자	ALOT_CFMTN_YMD
할인적용여부	DSCNT_APLCN_YN
항공촬영일자	AVTN_SHT_YMD
항목구분설명	ARTCL_SE_EXPLN
항목사용여부	ARTCL_USE_YN
항목일련번호	ARTCL_SN
항목정렬순서	ARTCL_SORT_SEQ
항목처리일자	ARTCL_PRCS_YMD
항목컬럼내용	ARTCL_COL_CN
항목컬럼순서	ARTCL_COL_SEQ
항목표출순서	ARTCL_EXPRS_SEQ
해상도국문명	RSLU_KRN_NM
해상도영문명	RSLU_ENG_NM
해설방문목적	EXPL_VST_PRPS
해외권역코드	OVSEA_SAREA_CD
해외반출학명	OVSEA_SHPGOT_STNM
해외사용여부	OVSEA_USE_YN
해외여행여부	OVSEA_TRVL_YN
해외연수여부	OVSEA_STDTRN_YN
해제등록일자	RMV_REG_YMD
해제접수일자	RMV_RCPT_YMD
해제처리일자	RMV_PRCS_YMD
해제통보일자	RMV_NTFCTN_YMD
해제희망일자	RMV_HOPE_YMD
해조류발견수	SWD_DSCV_CNT
해지신청일자	CNCLTN_APLY_YMD
해지예정일자	CNCLTN_PRNMNT_YMD
해지처리일자	CNCLTN_PRCS_YMD
핵심업무여부	KPNT_TASK_YN
행사시작시각	EVNT_BGNG_TM
행사시작일시	EVNT_BGNG_DT
행사시작일자	EVNT_BGNG_YMD
행사종료시각	EVNT_END_TM
행사종료일시	EVNT_END_DT
행사종료일자	EVNT_END_YMD
행위테이블명	ACTN_TBL_NM
행정구역리명	ADMDST_LI_NM
행정구역면적	ADMDST_AREA
행정정보설명	PBADMS_INFO_EXPLN
행정처분내용	ADMDSP_CN
행정처분번호	ADMDSP_NO
행정처분여부	ADMDSP_YN
행정처분일시	ADMDSP_DT
행정처분일자	ADMDSP_YMD
향후계획내용	HCFH_PLAN_CN
허가시작일자	PRMSN_BGNG_YMD
허가신고일시	PRMSN_DCLR_DT
허가신청일시	PRMSN_APLY_DT
허가업종코드	PRMSN_TPBIZ_CD
허가조건내용	PRMSN_CND_CN
허가종료일자	PRMSN_END_YMD
허가취소일자	PRMSN_RTRCN_YMD
헬프데스크명	HDESK_NM
현금상환비율	CASH_RPMT_RT
현금지급금액	CASH_GIVE_AMT
현장검증여부	GRNDS_VRFC_YN
현장담당자명	GRNDS_PIC_NM
현장대리인명	GRNDS_AGT_NM
현장도착일시	GRNDS_ARVL_DT
현장상세주소	GRNDS_DADDR
현장설명일자	GRNDS_EXPLN_YMD
현장우편번호	GRNDS_ZIP
현장전화번호	GRNDS_TELNO
현장조사내용	GRNDS_EXMN_CN
현장조사여부	GRNDS_EXMN_YN
현장조사일자	GRNDS_EXMN_YMD
현장팩스번호	GRNDS_FXNO
현장평가점수	GRNDS_EVL_SCR
현장확인여부	GRNDS_IDNTY_YN
현재가치금액	NOW_WRTH_AMT
현재사용여부	NOW_USE_YN
현행법령제목	EXSTN_STT_TTL
협약시작일자	CVTN_BGNG_YMD
협약일련번호	CVTN_SN
협약적용일자	CVTN_APLCN_YMD
협약종료일자	CVTN_END_YMD
협약체결여부	CVTN_CNCLS_YN
협약체결일자	CVTN_CNCLS_YMD
협의대상여부	CNSLTN_TRGT_YN
협의시작일자	CNSLTN_BGNG_YMD
협의요청일자	CNSLTN_DMND_YMD
협의의견내용	CNSLTN_OPNN_CN
협의자료여부	CNSLTN_DATA_YN
협의종료일자	CNSLTN_END_YMD
형사고발여부	CMLC_ACSTN_YN
형식승인번호	FRM_APRV_NO
형식승인여부	FRM_APRV_YN
형태특징설명	FRM_CHRTC_EXPLN
호두피해비율	WN_DAM_RT
호소수항목명	PNWTR_ARTCL_NM
호우지역내용	HRAIN_RGN_CN
홍보시작일자	PBRL_BGNG_YMD
홍보종료일자	PBRL_END_YMD
홍보희망일자	PBRL_HOPE_YMD
홍수사상일시	FLDEV_DT
홍수예보번호	FLOOD_FRCST_NO
홍수조절용량	FLOOD_RGLTE_CPCT
화면사용여부	SCRN_USE_YN
화면출력순서	SCRN_OTPT_SEQ
화면출력여부	SCRN_OTPT_YN
화면표시순서	SCRN_INDCT_SEQ
화면표시여부	SCRN_INDCT_YN
화물관리번호	FRGHT_MNG_NO
화학안전번호	CHEM_SFTY_NO
확인대상여부	IDNTY_TRGT_YN
확인시작일자	IDNTY_BGNG_YMD
확인자아이디	IDFR_ID
확인자직급명	IDFR_JBGD_NM
확인자직위명	IDFR_JBPS_NM
확인종료일자	IDNTY_END_YMD
확장정보내용	EXTND_INFO_CN
확정구분코드	CFMTN_SE_CD
확정선별일시	CFMTN_SLCF_DT
확정수행여부	CFMTN_FLFMT_YN
확정승인일자	CFMTN_APRV_YMD
확정자아이디	DTMR_ID
확정적용여부	CFMTN_APLCN_YN
확정취소일시	CFMTN_RTRCN_DT
확정취소일자	CFMTN_RTRCN_YMD
확정통보여부	CFMTN_NTFCTN_YN
환경강우여부	ENV_RAIN_YN
환경부아이디	MOE_ID
환경부최초명	MOE_FRST_NM
환경시설내용	ENV_FCLT_CN
환경피해내용	ENV_DAM_CN
환급계좌번호	RMBR_ACTNO
환급대상여부	RMBR_TRGT_YN
환급신청금액	RMBR_APLY_AMT
환급신청여부	RMBR_APLY_YN
환급신청일자	RMBR_APLY_YMD
환불계좌번호	RFND_ACTNO
환불예금주명	RFND_DPSTR_NM
환불예정일시	RFND_PRNMNT_DT
환불예정일자	RFND_PRNMNT_YMD
환불처리일자	RFND_PRCS_YMD
환산산출세액	CNVS_CALC_TXAMT
환산일련번호	CNVS_SN
환수결정금액	RDM_DCSN_AMT
환수대상금액	RDM_TRGT_AMT
환율기준일자	EXCHRT_CRTR_YMD
환율적용일자	EXCHRT_APLCN_YMD
환자상세주소	PTN_DADDR
환자상태코드	PTN_STTS_CD
환자전화번호	PTN_TELNO
활동계획내용	ACTV_PLAN_CN
활동그룹번호	ACTV_GROUP_NO
활동시작시각	ACTV_BGNG_TM
활동시작일자	ACTV_BGNG_YMD
활동자료비율	ATTD_RT
활동종료시각	ACTV_END_TM
활동종료일자	ACTV_END_YMD
활성시작일자	ACTVTN_BGNG_YMD
활성종료일자	ACTVTN_END_YMD
활용계획내용	UTLZ_PLAN_CN
활용방안내용	UTLZ_MSRS_CN
황사모델여부	YLDST_MDL_YN
황사발생차수	YLDST_OCRN_CYCL
황사제외여부	YLDST_EXCL_YN
회계결의번호	ACNTG_RSLTN_NO
회계전표번호	ACNTG_SLIP_NO
회계처리여부	ACNTG_PRCS_YN
회계처리일자	ACNTG_PRCS_YMD
회사대표자명	CO_RPRSV_NM
회사상세주소	CO_DADDR
회사설립일자	CO_FNDN_YMD
회사우편번호	CO_ZIP
회사전화번호	CO_TELNO
회사팩스번호	CO_FXNO
회수가능금액	RTRVL_PSBLTY_AMT
회수예상금액	RTRVL_EXPC_AMT
회수예정일자	RTRVL_PRNMNT_YMD
회수처리일자	RTRVL_PRCS_YMD
회수합계금액	RTRVL_SUM_AMT
회신가능여부	RPLY_PSBLTY_YN
회신기한일자	RPLY_TERM_YMD
회신문서번호	RPLY_DOC_NO
회신요청일자	RPLY_DMND_YMD
회신자아이디	RPLYR_ID
회신전화번호	RPLY_TELNO
회원가입여부	MBR_JOIN_YN
회원가입일시	MBR_JOIN_DT
회원가입일자	MBR_JOIN_YMD
회원고유번호	MBR_UNQ_NO
회원구분여부	MBR_SE_YN
회원상세주소	MBR_DADDR
회원생년월일	MBR_BRDT
회원우편번호	MBR_ZIP
회원인증여부	MBR_CERT_YN
회원인증일시	MBR_CERT_DT
회원일련번호	MBR_SN
회원전화번호	MBR_TELNO
회원카드번호	MBR_CARD_NO
회원탈퇴내용	MBR_WHDWL_CN
회원탈퇴사유	MBR_WHDWL_RSN
회원탈퇴여부	MBR_WHDWL_YN
회원탈퇴일시	MBR_WHDWL_DT
회원탈퇴일자	MBR_WHDWL_YMD
회원팩스번호	MBR_FXNO
회의개최일자	MTG_HDMT_YMD
회의결과내용	MTG_RSLT_CN
회의시작시각	MTG_BGNG_TM
회의시작시분	MTG_BGNG_HM
회의시작일시	MTG_BGNG_DT
회의시작일자	MTG_BGNG_YMD
회의실위치명	CFRM_PSTN_NM
회의실장비명	CFRM_EQPMNT_NM
회의안건내용	MTG_AGND_CN
회의예정일자	MTG_PRNMNT_YMD
회의종료시각	MTG_END_TM
회의종료시분	MTG_END_HM
회의종료일시	MTG_END_DT
회의종료일자	MTG_END_YMD
회의지정여부	MTG_DSGN_YN
회의진행일자	MTG_PRGRS_YMD
훈련메뉴여부	TRNG_MENU_YN
훈련사례설명	TRNG_CASE_EXPLN
훈련사례일자	TRNG_CASE_YMD
훈련시작일자	TRNG_BGNG_YMD
훈련종료일자	TRNG_END_YMD
휴가시작일자	VCT_BGNG_YMD
휴가종료일자	VCT_END_YMD
휴대전화번호	MBL_TELNO
휴면계정여부	DRMC_ACNT_YN
휴양시설설명	RLX_FCLT_EXPLN
휴업시작일자	TCBIZ_BGNG_YMD
휴업신고일자	TCBIZ_DCLR_YMD
휴업종료일자	TCBIZ_END_YMD
휴일구분코드	HLDY_SE_CD
휴일근무수당	HLDY_WORK_ALW
휴일근무시간	HLDY_WORK_HR
휴일근무일수	HLDY_WRKDY_CNT
휴일제외여부	HLDY_EXCL_YN
휴일포함여부	HLDY_INCL_YN
휴지시작일자	PAUS_BGNG_YMD
휴지종료일자	PAUS_END_YMD
휴직시작일자	LVABSN_BGNG_YMD
휴직종료일자	LVABSN_END_YMD
가두리시설면적	CAGE_FCAR
가맹점대표자명	FRCS_RPRSV_NM
가맹점상세주소	FRCS_DADDR
가맹점우편번호	FRCS_ZIP
가맹점전화번호	FRCS_TELNO
가상계좌은행명	VR_BACNT_BANK_NM
가상첨부파일명	VR_ATCH_FILE_NM
가시상추발견수	PLT_DSCV_CNT
가압류결정일자	PRAT_DCSN_YMD
가압류일련번호	PRAT_SN
가축분뇨발생량	LVEXTN_AMTGNR
가해자상세주소	ASLNT_DADDR
가해자우편번호	ASLNT_ZIP
가해자전화번호	ASLNT_TELNO
간접계산배출량	IDRT_CAL_EHQTY
간접배출평균량	IDRT_EMSN_AVG_QNT
간행물등록번호	PBLC_REG_NO
간행물요약내용	PBLC_SMRY_CN
감독자부서코드	SPVSR_DEPT_CD
감독자전화번호	SPVSR_TELNO
감정평가수수료	APRS_EVL_FEE
감축량산정용량	CTBK_QNT_CMPTTN_CPCT
감축사업영문명	CTBK_BIZ_ENG_NM
감축수단사업명	CTBK_MNS_BIZ_NM
감축실적신청량	RRFR_APLY_QNT
감축실적할당량	RRFR_QT
감축실적합계량	RRFR_SUM_QNT
감축효과계획량	CTBK_EFCT_PLNQTY
감축효과실적량	CTBK_EFCT_PRFMNC_QNT
강사이메일주소	INSTR_EML_ADDR
강사전문분야명	INSTR_ARSP_NM
강수량관측일시	RN_OBSRVN_DT
강우량결측여부	AMRF_MSNG_YN
강우량관측일시	AMRF_OBSRVN_DT
강의상세등급명	LCTR_DTL_GRD_NM
강의신청인원수	LCTR_APLY_NOPE
강의재확인사유	LCTR_RECFM_RSN
개선측정기기명	IMPV_MSRMT_ISTR_NM
개인법인구분명	INDV_CORP_SE_NM
개인사업자여부	INDV_BZMN_YN
객관식답변번호	MLCH_ANS_NO
객관식응답번호	MLCH_RSPNS_NO
객관식특이사항	MLCH_EXCPTN_MTTR
갱신신청아이디	UPDT_APLY_ID
갱신예상감축량	UPDT_EXPC_CTBK_QNT
거래소사용여부	STCNG_USE_YN
거래소참여번호	STCNG_PTCP_NO
거래처계좌번호	CNPT_ACTNO
거래처담당자명	CNPT_PIC_NM
거래처대표자명	CNPT_RPRSV_NM
거래처상세주소	CNPT_DADDR
거래처실명번호	CNPT_RLNM_NO
거래처예금주명	CNPT_DPSTR_NM
거래처우편번호	CNPT_ZIP
거래처전화번호	CNPT_TELNO
거주지상세주소	RSDC_DADDR
거주지우편번호	RSDC_ZIP
거주지전화번호	RSDC_TELNO
건강검진기관명	HLTH_CKUP_INST_NM
건강보험증번호	HIC_NO
건강보호항목명	HLTH_PRTC_ARTCL_NM
검사기기아이디	INSP_ISTR_ID
검사자부서코드	TSTR_DEPT_CD
검사자전화번호	TSTR_TELNO
검사항목상세명	INSP_ARTCL_DTL_NM
검사항목아이디	INSP_ARTCL_ID
검사항목약어명	INSP_ARTCL_ABBR_NM
검사항목영문명	INSP_ARTCL_ENG_NM
검사항목표출명	INSP_ARTCL_EXPRS_NM
검사항목한글명	INSP_ARTCL_KORN_NM
검색계정과목명	SRCH_ACNTL_NM
검색기간구분명	SRCH_PRD_SE_NM
검정곡선시료수	CLBCV_SPCM_CNT
검증보고서여부	VRFC_RPTP_YN
검증사업이후량	VRFC_BIZ_AFTR_QNT
검증심사자주소	VRFC_JDG_ADDR
검증이전배출량	VRFC_BFR_EHQTY
검증이후배출량	VRFC_AFTR_EHQTY
검증적용기술명	VRFC_APLCN_TECH_NM
검증코드목록명	VRFC_CD_LIST_NM
검토계정대상명	RVW_ACNT_TRGT_NM
검토자반려사유	RVWR_RJCT_RSN
검토자전화번호	RVWR_TELNO
게시글공개여부	PSTAT_RLS_YN
게시글공지여부	PSTAT_NTC_YN
게시글답변내용	PSTAT_ANS_CN
게시글일련번호	PSTAT_SN
게시물공개여부	PST_RLS_YN
게시물공지여부	PST_NTC_YN
게시물답변내용	PST_ANS_CN
게시물댓글내용	PST_CMNT_CN
게시물등급번호	PST_GRD_NO
게시물등록일시	PST_REG_DT
게시물등록일자	PST_REG_YMD
게시물레벨번호	PST_LVL_NO
게시물마스터명	PST_MST_NM
게시물비추천수	PST_DCMD_CNT
게시물삭제여부	PST_DEL_YN
게시물이동여부	PST_MVMN_YN
게시물이동일시	PST_MVMN_DT
게시물일련번호	PST_SN
게시물작성번호	PST_WRT_NO
게시물작성자명	PST_WRTR_NM
게시물평가점수	PST_EVL_SCR
게시판게시번호	BBS_PSTG_NO
게시판고유번호	BBS_UNQ_NO
게시판공지여부	BBS_NTC_YN
게시판구분코드	BBS_SE_CD
게시판그룹번호	BBS_GROUP_NO
게시판그룹설명	BBS_GROUP_EXPLN
게시판그룹여부	BBS_GROUP_YN
게시판등록일자	BBS_REG_YMD
게시판등록자명	BBS_RGTR_NM
게시판범주설명	BBS_CTGRY_EXPLN
게시판부모번호	BBS_PRNT_NO
게시판비고내용	BBS_RMRK_CN
게시판사용여부	BBS_USE_YN
게시판상세설명	BBS_DTL_EXPLN
게시판소개내용	BBS_INTDC_CN
게시판속성제목	BBS_ATRB_TTL
게시판수정자명	BBS_MDFR_NM
게시판요약내용	BBS_SMRY_CN
게시판이동여부	BBS_MVMN_YN
게시판이미지명	BBS_IMG_NM
게시판일련번호	BBS_SN
게시판자료내용	BBS_DATA_CN
게시판작성일시	BBS_WRT_DT
게시판점검내용	BBS_CHCK_CN
게시판키워드명	BBS_KYWD_NM
겨울성수기설명	WNTR_PKSN_EXPLN
결과메시지내용	RSLT_MSG_CN
결론파일아이디	CNCSN_FILE_ID
결재요청자여부	ATRZ_RQSTR_YN
결재자일련번호	APRVR_SN
결재타임스탬프	ATRZ_TMST
결재프로세스명	ATRZ_PROCS_NM
경계위치아이디	MGNL_PSTN_ID
경계조건아이디	MGNL_CND_ID
경관파일아이디	LDS_FILE_ID
경로우대인원수	SNPR_NOPE
계산계수방식명	CAL_CFC_MTH_NM
계수산정식내용	CFC_CCTFM_CN
계약자우편번호	CTRTR_ZIP
계약자전화번호	CTRTR_TELNO
계정고유아이디	ACNT_UNQ_ID
계정과목영문명	ACNTL_ENG_NM
계정비활성여부	ACNT_IACTV_YN
계좌이체수수료	ACTRSF_FEE
계좌이체은행명	ACTRSF_BANK_NM
계층스타일내용	LYR_STYL_CN
계획홍수위용량	PLAN_FLDEL_CPCT
고객만족도점수	CUST_DGSTFN_SCR
고객이메일주소	CUST_EML_ADDR
고농도적중여부	HCNTR_CMTR_YN
고등균류발견수	HGF_DSCV_CNT
고라니피해비율	ELK_DAM_RT
고형물정화비율	SLD_PRFCTN_RT
공간정보아이디	SPTINF_ID
공공처리시설명	PUB_PRCS_FCLT_NM
공급받는자상호	SPLRCP_CONM
공급받는자주소	SPLRCP_ADDR
공급사업장주소	SPLY_BPLC_ADDR
공급업체코드명	SPLY_BZENTY_CD_NM
공급자담당자명	SPLR_PIC_NM
공급자대표자명	SPLR_RPRSV_NM
공급자상세주소	SPLR_DADDR
공급자우편번호	SPLR_ZIP
공동대표자여부	JNT_RPRSV_YN
공동사업자여부	JNT_BZMN_YN
공무원구분코드	PBOFC_SE_CD
공정도추가설명	PRCSDG_ADD_EXPLN
공정생산품목명	PROCS_PRDCTN_ITEM_NM
공지게시물여부	NTC_PST_YN
공지게시판번호	NTC_BBS_NO
공지글사용여부	NTC_WRTT_USE_YN
공지사항조회수	NTC_MTTR_INQ_CNT
공통게시판제목	COM_BBS_TTL
공통권한아이디	COM_AUTHRT_ID
공통분류코드명	COM_CLSF_CD_NM
공통상세코드명	COM_DTL_CD_NM
공통지표별칭명	COM_IDCT_NCNM_NM
공통지표아이디	COM_IDCT_ID
공통코드그룹명	COM_CD_GROUP_NM
공통코드아이디	COM_CD_ID
공통코드약어명	COM_CD_ABBR_NM
공휴일사용여부	LHLDY_USE_YN
과불화탄소여부	PFCS_YN
과징금단위가격	SRCHG_UNIT_PRC
과징금부과금액	SRCHG_LEVY_AMT
과태료부과건수	FFNLG_LEVY_NOCS
과태료부과여부	FFNLG_LEVY_YN
관개용수계획량	WTFIR_PLNQTY
관계기관시도명	REL_INST_CTPV_NM
관계기관아이디	REL_INST_ID
관계법령아이디	REL_STT_ID
관계법제도내용	REL_LAW_SYST_CN
관계식일련번호	RLEXP_SN
관계식작성일시	RLEXP_WRT_DT
관계자일련번호	RLPR_SN
관계자전화번호	RLPR_TELNO
관공서성격내용	GVMNFC_PRSNL_CN
관리과제레벨수	MNG_ASMT_LVL_CNT
관리과제아이디	MNG_ASMT_ID
관리과제카드명	MNG_ASMT_CARD_NM
관리관공서번호	MNG_GVMNFC_NO
관리부서직급명	MNG_DEPT_JBGD_NM
관리자권한여부	MNGR_AUTHRT_YN
관리자답변내용	MNGR_ANS_CN
관리자답변여부	MNGR_ANS_YN
관리자등록여부	MNGR_REG_YN
관리자메뉴여부	MNGR_MENU_YN
관리자메모내용	MNGR_MEMO_CN
관리자부서코드	MNGR_DEPT_CD
관리자비고내용	MNGR_RMRK_CN
관리자사용여부	MNGR_USE_YN
관리자삭제여부	MNGR_DEL_YN
관리자생성일시	MNGR_CRT_DT
관리자수정여부	MNGR_MDFCN_YN
관리자수정일시	MNGR_MDFCN_DT
관리자승인여부	MNGR_APRV_YN
관리자승인일시	MNGR_APRV_DT
관리자쓰기여부	MNGR_WRT_YN
관리자의견내용	MNGR_OPNN_CN
관리자일련번호	MNGR_SN
관리자읽기여부	MNGR_READ_YN
관리자전용여부	MNGR_EXUSE_YN
관리자전화번호	MNGR_TELNO
관리자팩스번호	MNGR_FXNO
관리자확인여부	MNGR_IDNTY_YN
관리자확인일시	MNGR_IDNTY_DT
관리항목코드명	MNG_ARTCL_CD_NM
관장기관메뉴명	DRCTR_INST_MENU_NM
관장기관신규명	DRCTR_INST_NEW_NM
관측소도달시분	OBSVTR_RCHNG_HM
관측소상세주소	OBSVTR_DADDR
관측소영점표고	OBSVTR_ZRELV
관측소일련번호	OBSVTR_SN
관측소전화번호	OBSVTR_TELNO
관측소폐지내용	OBSVTR_ABL_CN
관측소한글주소	OBSVTR_KORN_ADDR
관측소해발고도	OBSVTR_ELVT_ALTD
관측위치영문명	OBSRVN_PSTN_ENG_NM
관측자료아이디	OBSRVN_DATA_ID
관측장소위치명	OBSRVN_PLC_PSTN_NM
관측항목아이디	OBSRVN_ARTCL_ID
교육과정코드명	CRCLM_CD_NM
교육과정파일명	CRCLM_FILE_NM
교육상태코드명	EDU_STTS_CD_NM
교육연수과정명	EDTRN_CRS_NM
구내식당기관명	PRMS_RSTNT_INST_NM
구내식당잔반량	PRMS_RSTNT_LTRC_QNT
구내식당잔식량	PRMS_RSTNT_LFTVRS_QNT
구매계약총금액	PRCHS_CTRT_GRAMT
구매요청부서명	PRCHS_DMND_DEPT_NM
구매요청상품명	PRCHS_DMND_GDS_NM
구매자전화번호	PRCHR_TELNO
구매처전화번호	PCPL_TELNO
구비서류영문명	RQDOC_ENG_NM
구요청파일내용	OLD_DMND_FILE_CN
국가법안국문명	NTN_BIL_KRN_NM
국가법안영문명	NTN_BIL_ENG_NM
국가설정이력명	NTN_STNG_HSTRY_NM
국가영문약칭명	NTN_ENG_DMNTV_NM
국고금계좌번호	NTFND_ACTNO
국내종개체비율	DMST_SPECS_INDV_RT
국민연금보험료	NPN_ISPM
국외반출자원명	OVSEA_SHPGOT_RSRC_NM
국장난이도순위	DRTR_DFCTY_RNK
국장난이도점수	DRTR_DFCTY_SCR
국정과제아이디	NTAD_ASMT_ID
국회요구자료명	NLASM_RQT_DATA_NM
국회의원직위명	MTNA_JBPS_NM
권역그룹국문명	SAREA_GROUP_KRN_NM
권역그룹영문명	SAREA_GROUP_ENG_NM
권역라벨아이디	SAREA_LBL_ID
권역원본국문명	SAREA_ORGNL_KRN_NM
권한고유아이디	AUTHRT_UNQ_ID
권한그룹아이디	AUTHRT_GROUP_ID
규정주관부처명	RULE_SPRVSN_MAO_NM
규칙조건그룹명	RUL_CND_GROUP_NM
그룹게시글번호	GROUP_PSTAT_NO
그룹고유아이디	GROUP_UNQ_ID
근무지상세주소	POWK_DADDR
근무지우편번호	POWK_ZIP
근무지전화번호	POWK_TELNO
근저당설정금액	FXCL_STNG_AMT
근저당설정일자	FXCL_STNG_YMD
기관광역시도명	INST_MCTPV_NM
기관분류아이디	INST_CLSF_ID
기관시군구주소	INST_SGG_ADDR
기관영문약칭명	INST_ENG_DMNTV_NM
기관이메일주소	INST_EML_ADDR
기념일구분코드	ANVS_SE_CD
기록물관리번호	RCDS_MNG_NO
기본값통보여부	BSC_VL_NTFCTN_YN
기본결재선여부	BSC_APLN_YN
기본조직분류명	BSC_OGNZ_CLSF_NM
기본주제분류명	BSC_TPC_CLSF_NM
기부금구분코드	AOD_SE_CD
기상관측소경도	WTHR_OBSVTR_LOT
기상관측소위도	WTHR_OBSVTR_LAT
기상관측소주소	WTHR_OBSVTR_ADDR
기상관측소코드	WTHR_OBSVTR_CD
기상측정소경도	WTHR_MSRSTN_LOT
기상측정소고도	WTHR_MSRSTN_ALTD
기상측정소위도	WTHR_MSRSTN_LAT
기상호우부제목	WTHR_HRAIN_SBTTL
기숙사신청내용	DMTRY_APLY_CN
기숙사신청제목	DMTRY_APLY_TTL
기안자부서코드	DRFR_DEPT_CD
기압계해발고도	MNMTR_ELVT_ALTD
기존시설배출량	EXS_FCLT_EHQTY
기존콘텐츠내용	EXS_CONTS_CN
기준기초배출량	CRTR_BSCS_EHQTY
기준연도배출량	CRTR_YR_EHQTY
기준연도시설수	CRTR_YR_FCLT_CNT
기준이의신청량	CRTR_OBJC_APLY_QNT
기준이의처리량	CRTR_OBJC_PRCS_QNT
기준최종배출량	CRTR_LAST_EHQTY
기준평균배출량	CRTR_AVG_EHQTY
기초조사지점명	BSCS_EXMN_BRNCH_NM
기출정보쪽번호	PVEX_INFO_PAGE_NO
기타담당부서명	ETC_TKCG_DEPT_NM
기타당직민원명	ETC_ONDT_CVLCPT_NM
기타동물피해량	ETC_ANML_DAM_QNT
기타발전방류량	ETC_ETGT_OTFL
기타변수코드명	ETC_VRBL_CD_NM
기타소속기관명	ETC_OGDP_INST_NM
기타자가처리량	ETC_ONSLF_PRCS_QNT
기타작물피해량	ETC_CROP_DAM_QNT
기타참석기관명	ETC_ATND_INST_NM
기타출장분야명	ETC_BZTRP_FLD_NM
기타출장성격명	ETC_BZTRP_PRSNL_NM
기환급신청세액	ARFND_APLY_TXAMT
기획전시구분명	PLN_EXHB_SE_NM
기획전시아이디	PLN_EXHB_ID
기후대기코드명	CLAIR_CD_NM
긴급연락처번호	EMRG_CNPL_NO
난이도일련번호	DFCTY_SN
난이도평가비율	DFCTY_EVL_RT
날씨센터아이디	WTHR_CNTR_ID
남조류예보번호	BLAL_FRCST_NO
납부자상세주소	RTPYR_DADDR
납부자실명번호	RTPYR_RLNM_NO
납부자우편번호	RTPYR_ZIP
납부자전화번호	RTPYR_TELNO
